Timestamp,Source,Direction,Message
12:23:58.937,COM15,   ,RAW: 01 03 24 00 00 52 A1 00 00 52 D0 00 00 52 22 00 02 E5 4A 00 02 E9 91 00 02 E9 C2 00 05 05 79 00 05 0D E5 00 05 07 B8 19 B4 01 03 00 66 00 10 A4 19
12:23:59.097,COM15,RX,Read Holding Regs  unit=1  addr=8192  qty=4714  [CRC FAIL calc=E9A5 recv=F2A5]
12:23:59.097,COM15,   ,RAW: 01 03 20 00 12 6A DB 00 00 00 00 00 12 6C 74 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7A D6 D4 11 01 03 00 A6 00 24 A5 F2
12:23:59.337,COM15,RX,Read Holding Regs  unit=1  addr=18441  qty=47466  [CRC FAIL calc=460D recv=008C]
12:23:59.337,COM15,   ,RAW: 01 03 48 09 B9 6A 74 00 08 D4 AF 09 FB 67 7D 00 12 4A BE 00 0B 3B 78 00 97 81 64 05 C7 5E 8C 00
12:23:59.416,COM15,RX,FC37  unit=3  [CRC FAIL calc=8481 recv=A5B9]
12:23:59.416,COM15,   ,RAW: 03 25 A5 00 00 03 E8 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 89 06 53 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5
12:24:00.438,COM15,RX,Read Holding Regs  unit=1  addr=16  qty=18  [CRC OK]
12:24:00.438,COM15,   ,RAW: 01 03 00 10 00 12 C4 02
12:24:00.612,COM15,RX,Read Holding Regs  unit=1  addr=9216  qty=82  [CRC FAIL calc=02A4 recv=19A4]
12:24:00.612,COM15,   ,RAW: 01 03 24 00 00 52 BF 00 00 52 BB 00 00 52 2A 00 02 E6 1D 00 02 EA 26 00 02 E9 70 00 05 0A 88 00 05 0D 0B 00 05 0A 3B 78 2A 01 03 00 66 00 10 A4 19
12:24:00.772,COM15,RX,Read Holding Regs  unit=1  addr=8192  qty=4718  [CRC FAIL calc=E9A5 recv=F2A5]
12:24:00.772,COM15,   ,RAW: 01 03 20 00 12 6E 3F 00 00 00 00 00 12 84 78 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 62 EB B3 43 01 03 00 A6 00 24 A5 F2
12:24:00.995,COM15,RX,Read Holding Regs  unit=1  addr=18441  qty=47469  [CRC FAIL calc=BAED recv=0099]
12:24:00.996,COM15,   ,RAW: 01 03 48 09 B9 6D 15 00 08 D4 AF 09 FB 6A 1D 00 12 4A BE 00 0B 3B 78 00 97 81 64 05 C7 5E 99 00
12:24:01.090,COM15,RX,FC37  unit=3  [CRC FAIL calc=8487 recv=A5B9]
12:24:01.090,COM15,   ,RAW: 03 25 A5 00 00 03 E8 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 89 D9 CB 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5
12:24:02.109,COM15,RX,Read Holding Regs  unit=1  addr=16  qty=18  [CRC OK]
12:24:02.109,COM15,   ,RAW: 01 03 00 10 00 12 C4 02
12:24:02.286,COM15,RX,Read Holding Regs  unit=1  addr=9216  qty=83  [CRC FAIL calc=02A4 recv=19A4]
12:24:02.286,COM15,   ,RAW: 01 03 24 00 00 53 4F 00 00 53 BC 00 00 52 C3 00 02 E9 69 00 02 EA CD 00 02 E9 46 00 05 0B EA 00 05 0C 71 00 05 0B 2C 5A 71 01 03 00 66 00 10 A4 19
12:24:02.414,COM15,RX,Read Holding Regs  unit=1  addr=8192  qty=4759  [CRC OK]
12:24:02.415,COM15,   ,RAW: 01 03 20 00 12 97 3D 00 00 00 00 00 12 9A 48 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AA 2D 14 F0
12:24:02.447,COM15,RX,Read Holding Regs  unit=1  addr=166  qty=36  [CRC OK]
12:24:02.447,COM15,   ,RAW: 01 03 00 A6 00 24 A5 F2
12:24:02.671,COM15,RX,Read Holding Regs  unit=1  addr=18441  qty=47470  [CRC FAIL calc=9F70 recv=00A4]
12:24:02.671,COM15,   ,RAW: 01 03 48 09 B9 6E 67 00 08 D4 AF 09 FB 6B 70 00 12 4A BE 00 0B 3B 78 00 97 81 64 05 C7 5E A4 00
