line_index,raw_line,subframe_index,start_byte,end_byte,uid,pdu_hex,crc_calc,valid
447,01 03 00 10 00 12 C4 02,0,0,7,1,03 00 10 00 12,02C4,OK
449,01 03 24 00 00 54 B4 00 00 54 A4 00 00 53 3E 00 02 E7 16 00 02 E9 93 00 02 E9 CC 00 05 07 8B 00 05 0C F3 00 05 09 C8 27 FD 01 03 00 66 00 10 A4 19,0,0,40,1,03 24 00 00 54 B4 00 00 54 A4 00 00 53 3E 00 02 E7 16 00 02 E9 93 00 02 E9 CC 00 05 07 8B 00 05 0C F3 00 05 09 C8,FD27,OK
449,01 03 24 00 00 54 B4 00 00 54 A4 00 00 53 3E 00 02 E7 16 00 02 E9 93 00 02 E9 CC 00 05 07 8B 00 05 0C F3 00 05 09 C8 27 FD 01 03 00 66 00 10 A4 19,1,41,48,1,03 00 66 00 10,19A4,OK
451,01 03 20 00 12 C7 90 00 00 00 00 00 12 CB C9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C9 88 5A 47 01 03 00 A6 00 24 A5 F2,0,0,36,1,03 20 00 12 C7 90 00 00 00 00 00 12 CB C9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C9 88,475A,OK
451,01 03 20 00 12 C7 90 00 00 00 00 00 12 CB C9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C9 88 5A 47 01 03 00 A6 00 24 A5 F2,1,37,44,1,03 00 A6 00 24,F2A5,OK
457,01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,0,0,7,1,03 61 B4 00 01,D0DB,OK
457,01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,1,8,14,1,03 02 00 7C,A5B9,OK
459,01 03 00 10 00 12 C4 02,0,0,7,1,03 00 10 00 12,02C4,OK
461,01 03 24 00 00 54 58 00 00 54 41 00 00 53 11 00 02 E4 91 00 02 E7 FB 00 02 E9 2A 00 05 03 2B 00 05 0B C7 00 05 07 1C 30 9B 01 03 00 66 00 10 A4 19,0,0,40,1,03 24 00 00 54 58 00 00 54 41 00 00 53 11 00 02 E4 91 00 02 E7 FB 00 02 E9 2A 00 05 03 2B 00 05 0B C7 00 05 07 1C,9B30,OK
461,01 03 24 00 00 54 58 00 00 54 41 00 00 53 11 00 02 E4 91 00 02 E7 FB 00 02 E9 2A 00 05 03 2B 00 05 0B C7 00 05 07 1C 30 9B 01 03 00 66 00 10 A4 19,1,41,48,1,03 00 66 00 10,19A4,OK
